n,Instance,Drone,T,Policy,Z
100,1,Yes,5,P-OPT,22.11
100,2,Yes,5,P-OPT,22.64
100,3,Yes,5,P-OPT,20.52
100,4,Yes,5,P-OPT,21.17
100,5,Yes,5,P-OPT,22.39
100,1,Yes,5,P-DUE,25.88
100,2,Yes,5,P-DUE,26.23
100,3,Yes,5,P-DUE,23.94
100,4,Yes,5,P-DUE,24.84
100,5,Yes,5,P-DUE,25.91
100,1,Yes,5,P-READY,27.52
100,2,Yes,5,P-READY,26.80
100,3,Yes,5,P-READY,25.03
100,4,Yes,5,P-READY,26.10
100,5,Yes,5,P-READY,27.71
100,1,Yes,5,P-FLEX,22.79
100,2,Yes,5,P-FLEX,23.15
100,3,Yes,5,P-FLEX,20.73
100,4,Yes,5,P-FLEX,21.49
100,5,Yes,5,P-FLEX,22.94
100,1,No,5,P-OPT,25.93
100,2,No,5,P-OPT,25.92
100,3,No,5,P-OPT,22.33
100,4,No,5,P-OPT,24.29
100,5,No,5,P-OPT,25.38
100,1,No,5,P-READY,31.82
100,2,No,5,P-READY,29.66
100,3,No,5,P-READY,26.85
100,4,No,5,P-READY,28.67
100,5,No,5,P-READY,30.26
100,1,Yes,4,P-OPT,22.23
100,2,Yes,4,P-OPT,22.70
100,3,Yes,4,P-OPT,20.60
100,4,Yes,4,P-OPT,21.25
100,5,Yes,4,P-OPT,22.41
100,1,Yes,6,P-OPT,22.11
100,2,Yes,6,P-OPT,22.62
100,3,Yes,6,P-OPT,20.51
100,4,Yes,6,P-OPT,21.14
100,5,Yes,6,P-OPT,22.35
